number of pages,number of books
1-16,0
17-32,1
33-48,4
49-64,1
65-80,2
81-96,17
97-112,7
113-128,23
129-144,21
145-160,46
161-176,26
177-192,54
193-208,48
209-224,43
225-240,42
241-256,51
257-272,36
273-288,47
289-304,33
305-320,55
306-336,34
337-352,40
353-368,20
369-384,32
385-400,24
401-416,17
417-432,16
433-448,31
449-464,22
465-480,20
481-496,9
497-512,21
513-528,7
529-544,13
545-560,12
561-576,10
577-592,16
593-608,6
609-624,7
625-640,12
641-656,6
567-672,1
673-688,2
689-704,4
705-720,5
721-736,3
737-752,2
753-768,2
769-784,7
785-800,1
801-816,1
817-832,3
833-848,1
849-864,2
865-880,1
881-896,0
897-912,2
913-928,2
929-944,1
945-960,0
961-976,3
977-992,3
993-1008,0
1009 und mehr,23
