1-16	319
17-32	272
33-48	256
49-64	665
65-80	472
81-96	963
97-112	947
113-128	3367
129-144	3751
145-160	8524
161-176	5724
177-192	9499
193-208	6765
209-224	8663
225-240	6618
241-256	10856
257-272	6826
273-288	9271
289-304	6471
305-320	10886
321-336	6116
337-352	7942
353-368	5125
369-384	7108
385-400	4798
401-416	5550
417-432	3476
433-448	4737
449-464	2766
465-480	4122
481-496	2237
497-512	3220
513-528	1749
529-544	2301
545-560	1543
561-576	1980
577-592	1113
593-608	1566
609-624	1007
625-640	1444
641-656	760
657-672	842
673-688	548
689-704	810
705-720	461
721-736	559
737-752	382
753-768	657
769-784	390
785-800	487
801-816	245
817-832	275
833-848	199
849-864	220
865-880	166
881-896	223
897-912	182
913-928	192
929-944	115
945-960	147
961-976	107
977-992	125
993-1008	120
>= 1009	992
